gene,score
XIST,4.0
LOC101929657,4.0
NEAT1,4.0
TMX2-CTNND1,4.0
NSUN2,3.0
LINC01920,3.0
VPS51,3.0
LOC107984282,3.0
ATG13,3.0
GAPVD1,3.0
MCPH1,3.0
PRUNE2,3.0
TTC28-AS1,3.0
TRIO,3.0
TSHZ3,3.0
PCA3,3.0
TK2,3.0
SATB2-AS1,3.0
LOC730100,3.0
SIKE1,3.0
UCA1,3.0
LAIR1,3.0
TOB2P1,3.0
LOC100131257,3.0
LINC00476,3.0
PSMG3-AS1,3.0
GUCD1,3.0
GRIK1-AS2,3.0
HERC2P2,3.0
HYDIN2,3.0
LINC01606,3.0
INMT-MINDY4,3.0
LNCOC1,3.0
NFIB,3.0
KCNQ1OT1,3.0
LINC00346,3.0
TBC1D25,3.0
LOC100128317,2.0
EOGT,2.0
KCCAT198,2.0
GRM7-AS2,2.0
FAM27E3,2.0
VWDE,2.0
SDR16C6P,2.0
LINC01995,2.0
LINC02120,2.0
NF2,2.0
TSIX,2.0
AZIN2,2.0
TNK2-AS1,2.0
DCLK2,2.0
LINC02575,2.0
POLDIP3,2.0
GATD1,2.0
LOC728752,2.0
STEAP3-AS1,2.0
ZNF529-AS1,2.0
PIN4P1,2.0
LOC101928517,2.0
OR11H7,2.0
LOC284454,2.0
FAM27E2,2.0
SUGT1P4-STRA6LP,2.0
LINC00548,2.0
PCBP3,2.0
ABCA12,2.0
OSTM1-AS1,2.0
HDAC3,2.0
LOC100289580,2.0
FGF10-AS1,2.0
LINC02018,2.0
GNAS,2.0
EBLN3P,2.0
ATXN1,2.0
AHSA2P,2.0
TMEM138,2.0
DOCK2,2.0
LOC285804,2.0
LINC01842,2.0
LINC01465,2.0
LOC101927666,2.0
MYADML,2.0
LINC01679,2.0
HELB,2.0
LOC101927954,2.0
LOC79999,2.0
LOC388436,2.0
GDE1,2.0
THAP12,2.0
JMJD8,2.0
CT75,2.0
MIR511,2.0
LOC100129291,2.0
MALAT1,2.0
KPTN,2.0
NPHP3-AS1,2.0
PANK2,2.0
TMED10P1,2.0
AKR7A2P1,2.0
SLC25A25-AS1,2.0
DSE,2.0
RAB18,2.0
ZNF341,2.0
BCRP2,2.0
TANGO2,2.0
TBC1D22A,2.0
ADRA1A,2.0
CELF5,2.0
CLU,2.0
ABTB1,2.0
BVES-AS1,2.0
VPS35L,2.0
CCNH,2.0
ZKSCAN1,2.0
THCAT155,2.0
TAF4B,2.0
FAXC,2.0
ZNF8-ERVK3-1,2.0
LOC100128653,2.0
MRRF,2.0
DBET,2.0
LINC02423,2.0
DNAH8-AS1,2.0
MESD,2.0
PAK3,2.0
POLD1,2.0
NUDCD2,2.0
MIGA2,2.0
LINC00865,2.0
GRIA4,2.0
FAM193A,2.0
BCHE,2.0
HEPH,2.0
TGFBRAP1,2.0
ADAMTS16,2.0
LOC646029,2.0
PTCH1,2.0
KDM2A,2.0
SBF1P1,2.0
LINC02065,2.0
TRIP10,2.0
FAM214B,2.0
MIR4697HG,2.0
LASP1,2.0
LOC400940,2.0
EXD2,2.0
UNQ6494,2.0
PLA2G10,2.0
PRKXP1,2.0
FOXD2-AS1,2.0
CTNND2,2.0
LOC101927884,2.0
TARID,2.0
MGC70870,2.0
MGC16275,2.0
PTPN3,2.0
C1QTNF1,2.0
CNOT1,2.0
MKNK1,2.0
LINC01471,2.0
LINC01270,2.0
DKFZP434A062,2.0
PBX3,2.0
LOC100130027,2.0
FAM181A-AS1,2.0
FAM118A,2.0
FAM30A,2.0
LINC00895,2.0
FAM66C,2.0
LINC00242,2.0
POM121L10P,2.0
LINC02099,2.0
LOC100130238,2.0
MAPT-IT1,2.0
CALHM2,2.0
STOM,2.0
IQCA1,2.0
SCN4B,2.0
LMBR1,2.0
SLC16A7,2.0
ITPA,2.0
SENP1,2.0
BCL2L13,2.0
LINC01932,2.0
KCNU1,2.0
LINC01778,2.0
CD209,2.0
LINC02021,2.0
KDM7A-DT,2.0
ACTG1P4,2.0
ESS2,2.0
OLMALINC,2.0
LOC100128164,2.0
TBC1D27P,2.0
FAM239A,2.0
RAB36,2.0
LOC440040,2.0
LOC101929645,2.0
LOC440896,2.0
LINC00643,2.0
LINC00475,2.0
KIDINS220,2.0
KDM5C,2.0
INVS,2.0
ENOSF1,2.0
HERC2P3,2.0
